"id","time","view","title","from_user","text","WoC","PROBLEMS","COMP","COMP2","SCI","Justification"
1,"01/25/2013 11:56:33","Welcome 6A","Why not an exact answer??","u20","How can we get a more exactly answer of the population in a place?","Q","E",,,,
2,"01/25/2013 11:56:26","Welcome 6A","Question","u9","Why do you think that every year the population increases and does not reduce?","Q","E",,,,
3,"01/25/2013 11:56:24","Welcome 6A","Reproductive Potential","u6","Why animals have different reproductive potential?","Q","E",,,,
4,"01/25/2013 12:06:11","Welcome 6A","Largest population on Earth?","u17","What is the place there is the largest population on the world?","Q","F",,,,
5,"01/25/2013 12:01:41","Welcome 6A","Interactions Between Individuals Related to Population Growth","u27","My questions are the following(they all contribute to give me an answer to the last one): What are the names and characteristics of the relationships among organisms? What are their differences? How can these affect the growth rate of a species? Please describe this in a specific way, explaining what may happen to the growth rate with each interaction. Thanks.","Q","E",,,,
6,"01/25/2013 12:02:10","Welcome 6A","question","u8","which are the species that have the bigger capacity to carry babies in her stomach?","Q","F",,,,
7,"01/25/2013 12:09:00","Welcome 6A","? question yupiiiiiiiiiiiiiiii","u23","how did scientists know about population? ","Q","E",,,,
8,"01/25/2013 12:02:58","Welcome 6A","Africa or South America???","u26","Is there more population in all africa or in south america? Because we have seen that many people african has die so I don´t know.","Q","F",,,,
9,"01/25/2013 12:06:50","Welcome 6A","Answer to Juan Felipe Gómez's Question: Population Balance","u27","I do think that population reduces, but this happens mostly in wildlife, due to the difficulties of life there. Usually, organisms try to maintain a balance between reproduction and death. These is the reason why animals who live a short period of time have more babies than the ones who live longer. Since they die faster, they need to preserve the species, and if they live longer, they need to prevent overpopulation. I hope I helped you :)","T",,4,2,2,"P"
10,"01/25/2013 12:09:54","Welcome 6A","Answer","u20","China","D",,,,,
11,"01/25/2013 12:12:53","Welcome 6A","answer for ostos","u26","I think that is because is more difficult to the people reproduce while the fish reproduces more because they have different reproducers. ","T",,3,2,1,"P"
12,"01/25/2013 12:09:43","Welcome 6A","Question","u7","How can we stop overpopulation?","Q","E",,,,
13,"01/25/2013 12:06:04","Welcome 6A","effects","u25","What are the effects of encreasing population}
","Q","F",,,,
14,"01/25/2013 12:09:26","Welcome 6A","Overpopulation Problems","u4","My question is: Is there a way to reduce the population, or to prevent overpopulation? ","Q","F",,,,
15,"01/25/2013 12:06:58","Welcome 6A","QUESTION","u28","Why does the insects reproduce faster than other animals and a big amount?","Q","E",,,,
16,"01/25/2013 12:11:59","Welcome 6A","Answer to Nicolas Ostos' Question: Population Balance","u27","Humans can't have many babies because this would cause overpopulation. Since we are a species who preserves for a long time, we must maintain a balance between reproduction and death. This is what all organisms do; they prevent extiction by reproducing a lot, since they die young (such as cockroaches), or, in our case, to prevent overpopulation. I hope I helped you. :)","T",,4,1,2,"P"
17,"01/25/2013 12:07:05","Welcome 6A","question","u18","Why do some animals have babies and die?","Q","E",,,,
18,"01/25/2013 12:07:33","Welcome 6A","Overpopulation","u22","What do you think about the overpopulation?","Q","F",,,,
19,"01/25/2013 12:07:46","Welcome 6A","mi question","u16","why humans cant have many babies","Q","E",,,,
20,"01/25/2013 12:13:30","Welcome 6A","Answer to Mario ","u9","The fishes think so.....","D",,,,,
21,"01/25/2013 12:18:35","Welcome 6A","answer to reales","u16","look this page http://www.poodwaddle.com/clocks/worldclock/","E",,,,,
22,"01/25/2013 12:10:13","Welcome 6A","???????????","u19","How many people are average born by day?","Q","F",,,,
23,"01/25/2013 12:12:20","Welcome 6A","Question","u11","What are the main problems of overpopulation?","Q","F",,,,
24,"01/25/2013 12:12:31","Welcome 6A","Answer ","u4","You can check on http://www.poodwaddle.com/clocks/worldclock/ which is a web page were you can find how many people die or are born in this moment. But, this is just an estimation.","E",,,,,
25,"01/25/2013 12:13:48","Welcome 6A","Answer of the question of Maria Camila.","u25","The insect reproduce faster than other animals in a big amount because, they are smaller and they live less than others, and lets say they are made to reproduce faster and do many babies because they live less and the world need them. I hope this is useful for you :)","T",,3,2,1,"P"
26,"01/25/2013 12:13:52","Welcome 6A","death","u13","How many people die in one day and how many are born in one day?","Q","F",,,,
27,"01/25/2013 12:15:30","Welcome 6A","Answer to Perilla","u9","Japan Think So.....","D",,,,,
28,"01/25/2013 12:15:23","Welcome 6A","answer","u24","I think that overpopulation is really bad because there is no space for humans and animals","T",,2,1,1,"P"
29,"01/25/2013 12:14:43","Welcome 6A","answer to julians question","u11","I check out and it is Tokio, Japon with 3,1 million people","E",,,,,
30,"01/25/2013 12:16:05","Welcome 6A","answere","u18","361,481 people are born in one day[[][from 1656]]","E",,,,,
31,"01/25/2013 12:16:38","Welcome 6A","Deaths and births","u13","How many people die in one day and how many people are born?","Q","F",,,,
32,"01/25/2013 12:20:25","Welcome 6A","answer VERO","u16","the way would we stop reproducing, that is IMPOSIBLE.","D",,,,,
33,"01/25/2013 12:20:08","Welcome 6A","answer","u20","  maybe the fishes.","D",,,,,
34,"02/05/2013 11:58:08","Welcome 6A","NO MORE OVERPOPULATION","u16","but the thing is not really about space, In my opinion the bad side of overpopulation are the resources, they can get distinguish in any moments and is because the human are use in it in a disgusting way!!!","T",,2,1,1,"P"
35,"02/05/2013 12:17:36","Welcome 6A","Answer for Daniel","u5","per minute there are born: 267 and die 108
per day there are born: 384000 born and die 156000 die
per year there are born 140.4 million born and die 56.7 million","E",,,,,
36,"02/05/2013 12:20:43","Welcome 6A","species","u15","What is the specie that has more babies in all their live in the world?","Q","F",,,,
37,"02/05/2013 12:07:53","Welcome 6A","Difference in Quantity between New Borns and Deaths","u14","How and why can be more babies per minute born, than old people death? ","Q","E",,,,
38,"02/05/2013 12:23:17","Welcome 6A","]Greatest Problem?","u17","What is the greatest problem caused by overpopulation?","Q","F",,,,
39,"02/05/2013 12:33:43","Welcome 6A","INcomplete answer","u17","I think your answer is incomplete you can investigate better and take a little time and search better","D",,,,,
40,"02/05/2013 12:20:14","Welcome 6A","Answer to the "" Yupi Question""","u9","According to nature magazine scientists do census that is to count how many people are in each continent or the world.   I  hope it helps you (:(:(:(::):):):)[[][from 3032]]","E",,,,,
41,"02/05/2013 12:25:24","Welcome 6A","Natural Selection","u7","How does overpopulation relate to a natural selection?","Q","E",,,,
42,"02/05/2013 12:19:17","Welcome 6A","BABIES BORN PER DAY","u28","An average of 353,015 babies born per day.","E",,,,,
43,"02/05/2013 12:14:27","Welcome 6A","Question","u3","When and how did scientists discovered overpopulation?","Q","E",,,,
44,"02/05/2013 12:20:02","Welcome 6A","I don´t agree with Nicolas Ostos","u6","I don´t agree with you Nicolas, because there are some solutions to stop reproducing as humanity is in this moment. For example, we can recommend schools to educate children in order to stop the big quantity of births per day. ","T",,2,1,3,"P"
45,"02/05/2013 12:25:14","Welcome 6A","answer for laura ","u13","A growing population leads to several environmental issues as well as social problems. An increasing population can be attributed to several variables. Within countries, we can credit the growth to increased immigration or lack of migration. Lack of education and contraceptive use and the need or desire for more children also adds to the population. In more developed countries we can attribute the population rises to better medical care, thus a longer lifespan and/or fewer deaths. As a result of this overpopulation we experience social issues such as increased rates of poverty, crime, disease, and environmental problems such as increased global warming, natural disasters, loss of habitat, pollution, and more. These threats are very necessary to be addressed, as they will affect people worldwide.

http://sitemaker.umich.edu/section4group5/introduction","E",,,,,
